Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-10-17,BTCUSD,6457.11,6459.99,6411.19,6443.7,5281.04,34000548.91
2018-10-16,BTCUSD,6436.98,6436.98,6422.16,6422.16,0.0,0.0
2018-10-15,BTCUSD,6183.49,6810,6151.58,6436.98,19798.42,127885999.98
2018-10-14,BTCUSD,6196,6288.36,6151,6183.49,3657.22,22764662.69
2018-10-13,BTCUSD,6188.01,6212,6178,6196,3722.67,23074416.97
2018-10-12,BTCUSD,6154.69,6235.2,6111.97,6188.01,5412.96,33554630.61
2018-10-11,BTCUSD,6524.56,6524.56,6033.34,6154.69,18769.33,116335608.9
2018-10-10,BTCUSD,6589.48,6591.32,6445.48,6524.56,5989.36,39043016.27
2018-10-09,BTCUSD,6608.07,6612.86,6552.5,6589.48,4424.22,29122947.04
2018-10-08,BTCUSD,6570,6681.19,6545.63,6608.07,5158.8,34066647.32
2018-10-07,BTCUSD,6552.43,6585.01,6491.81,6570,2572.74,16824366.84
2018-10-06,BTCUSD,6593.94,6594.39,6536,6552.43,2686.64,17617374.75
2018-10-05,BTCUSD,6547.45,6641,6512.81,6593.94,4973.4,32597736.43
2018-10-04,BTCUSD,6466.03,6603.01,6455,6547.45,6292.98,41231044.84
2018-10-03,BTCUSD,6498.46,6507.95,6398.96,6466.03,6017.6,38792994.29
2018-10-02,BTCUSD,6572.83,6591.37,6452,6498.46,5283.88,34517949.11
2018-10-01,BTCUSD,6605,6639.33,6479.03,6572.83,6869.97,45113832.24
2018-09-30,BTCUSD,6582,6640.37,6523,6605,3604.16,23739483.01
2018-09-29,BTCUSD,6620.01,6620.01,6452.02,6582,4164.89,27236990.33
2018-09-28,BTCUSD,6680.01,6786.73,6528.13,6620.01,8630.93,57429631.92
2018-09-27,BTCUSD,6455.66,6734.78,6430,6680.01,7629.43,50049900.06
2018-09-26,BTCUSD,6436.89,6537.26,6380.62,6455.66,5767.65,37350373.43
2018-09-25,BTCUSD,6582.09,6582.1,6320.5,6436.89,8918.53,57200568.82
2018-09-24,BTCUSD,6696.99,6716.16,6555.99,6582.09,5245.81,34758698.5
2018-09-23,BTCUSD,6707.33,6777,6660.05,6696.99,3403.22,22806982.88
2018-09-22,BTCUSD,6750,6823,6628.01,6707.33,5114.24,34363292.87
2018-09-21,BTCUSD,6493.11,6777.1,6492.5,6750,10972.56,73208617.45
2018-09-20,BTCUSD,6386.94,6530,6337,6493.11,6573.75,42236058.52
2018-09-19,BTCUSD,6335.7,6511,6106.37,6386.94,9736.67,61712813.0
2018-09-18,BTCUSD,6250.7,6384.04,6228,6335.7,6009.83,37901046.74
2018-09-17,BTCUSD,6498,6529.75,6207.55,6250.7,8901.88,56553438.08
2018-09-16,BTCUSD,6518.68,6521.75,6324.9,6498,3191.64,20649801.91
2018-09-15,BTCUSD,6478.04,6565,6470,6518.68,3344.58,21811302.81
2018-09-14,BTCUSD,6485.99,6580,6378.05,6478.04,7312.68,47509635.88
2018-09-13,BTCUSD,6326,6530,6323.65,6485.99,9327.54,60165545.77
2018-09-12,BTCUSD,6282.53,6340.94,6194.88,6326,7259.91,45544454.52
2018-09-11,BTCUSD,6299.99,6405,6176.76,6282.53,7223.25,45346177.73
